Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,153.2,154.12,153.2,154.04,2686989.0,0.0,1.0,134.77689462875736,135.58625979232434,134.77689462875736,135.5158802128837,2686989.0
2017-12-27,152.95,153.18,152.61,153.13,2149257.0,0.0,1.0,134.55695844300547,134.75929973389722,134.25784523038294,134.71531249674683,2149257.0
2017-12-26,152.51,153.86,152.5,152.83,2479017.0,0.0,1.0,134.16987075608216,135.35752615914237,134.16107330865208,134.45138907384458,2479017.0
2017-12-22,151.71,153.0,151.5,152.5,2987583.0,0.0,1.0,133.46607496167613,134.60094568015586,133.28132856564454,134.16107330865208,2987583.0
2017-12-21,153.17,153.46,151.49,151.5,4153665.0,0.0,1.0,134.75050228646714,135.00562826193934,133.27253111821446,133.28132856564454,4153665.0
2017-12-20,153.65,153.89,152.78,152.95,3784667.0,0.0,1.0,135.17277976311078,135.3839185014326,134.4074018366942,134.55695844300547,3784667.0
2017-12-19,154.135,154.17,153.09,153.23,4116349.0,0.0,1.0,135.59945596346944,135.6302470294747,134.68012270702656,134.80328697104758,4116349.0
2017-12-18,153.41,154.18,153.21,153.33,5089638.0,0.0,1.0,134.96164102478895,135.6390444769048,134.78569207618744,134.89126144534836,5089638.0
2017-12-15,153.75,153.8,152.03,152.5,11279624.0,0.0,1.0,135.26075423741153,135.30474147456192,133.74759327943855,134.16107330865208,11279624.0
2017-12-14,154.5,155.11,153.7,154.0,4636805.0,0.0,1.0,135.9205627946672,136.45720708790182,135.21676700026114,135.48069042316342,4636805.0
2017-12-13,156.6,156.73,153.89,153.91,5660838.0,0.0,1.0,137.76802675498305,137.88239357157403,135.3839185014326,135.40151339629273,5660838.0
2017-12-12,155.2,157.85,155.16,156.74,6321529.0,0.0,1.0,136.5363841147725,138.8677076837425,136.50119432505218,137.89119101900414,6321529.0
2017-12-11,154.97,155.89,154.57,155.41,4102719.0,0.0,1.0,136.33404282388074,137.1434079874477,135.98214492667773,136.72113051080407,4102719.0
2017-12-08,153.94,155.03,153.55,154.81,3520279.0,0.0,1.0,135.42790573858298,136.3868275084612,135.08480528881003,136.19328366499954,3520279.0
2017-12-07,154.03,154.45,153.26,153.57,3771429.0,0.0,1.0,135.50708276545365,135.87657555751682,134.82967931333783,135.10240018367017,3771429.0
2017-12-06,155.69,156.22,154.09,154.1,3410513.0,0.0,1.0,136.9674590388462,137.4337237526402,135.5598674500341,135.56866489746417,3410513.0
2017-12-05,156.45,156.74,154.68,155.35,5068043.0,0.0,1.0,137.63606504353191,137.89119101900414,136.07891684840857,136.6683458262236,5068043.0
2017-12-04,155.67,156.8,155.07,156.46,4664316.0,0.0,1.0,136.94986414398602,137.94397570358458,136.4220172981815,137.644862490962,4664316.0
2017-12-01,154.4,155.02,152.9125,154.76,5567597.0,0.0,1.0,135.83258832036645,136.37803006103113,134.52396801514269,136.14929642784915,5567597.0
2017-11-30,153.65,154.41,153.08,153.97,6496133.0,0.0,1.0,135.17277976311078,135.8413857677965,134.67132525959647,135.4542980808732,6496133.0
2017-11-29,152.81,153.61,152.17,153.55,5095567.0,0.0,1.0,134.43379417898444,135.13758997339048,133.87075754345958,135.08480528881003,5095567.0
2017-11-28,152.35,152.93,151.7,152.47,3973670.0,0.0,1.0,134.02911159720094,134.53936354814533,133.45727751424604,134.13468096636186,3973670.0
2017-11-27,152.06,152.49,151.62,151.98,3373892.0,0.0,1.0,133.77398562172877,134.15227586122202,133.38689793480543,133.70360604228816,3373892.0
2017-11-24,151.95,152.2,151.33,151.84,1193025.0,0.0,1.0,133.67721369999794,133.8971498857498,133.13177195933326,133.5804417782671,1193025.0
2017-11-22,152.0,152.39,151.33,151.77,3212796.0,0.0,1.0,133.7212009371483,134.06430138692124,133.13177195933326,133.51885964625657,3212796.0
2017-11-21,151.3,152.45,151.2,151.95,3756159.0,0.0,1.0,133.10537961704304,134.1170860715017,133.01740514274226,133.67721369999794,3756159.0
2017-11-20,150.64,151.95,149.9,150.51,5675763.0,0.0,1.0,132.52474808665804,133.67721369999794,131.87373697683245,132.41038127006703,5675763.0
2017-11-17,149.34,150.15,148.83,148.97,4916449.0,0.0,1.0,131.38107992074822,132.09367316258434,130.93241010181438,131.0555743658354,4916449.0
2017-11-16,147.73,149.65,147.5,149.12,5446218.0,0.0,1.0,129.96469088450604,131.65380079108056,129.76234959361432,131.18753607728655,5446218.0
2017-11-15,148.0,148.705,146.211,147.1,4773328.0,0.0,1.0,130.2022219651181,130.82244200893842,128.6283586198776,129.4104516964113,4773328.0
2017-11-14,147.95,148.97,147.49,148.89,3751129.0,0.0,1.0,130.1582347279677,131.0555743658354,129.75355214618423,130.9851947863948,3751129.0
2017-11-13,148.88,149.0,147.92,148.4,5107222.0,0.0,1.0,130.97639733896474,131.08196670812563,130.1318423856775,130.55411986232113,5107222.0
2017-11-10,150.65,150.89,149.14,149.16,4306943.0,0.0,1.0,132.53354553408812,132.74468427240993,131.2051309721467,131.22272586700686,4306943.0
2017-11-09,149.93,151.8,149.86,150.3,4776056.0,1.5,1.0,131.90012931912267,133.54525198854682,131.83854718711217,132.22563487403548,4776056.0
2017-11-08,151.6,151.7944,150.28,151.57,4630031.0,0.0,1.0,132.05142455140827,132.22075698500188,130.90163642206883,132.02529300301418,4630031.0
